company_id,type,rule_id,text,confidence_pct
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ABB,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
ABB,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIENSOL,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
ADANIENT,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPORTS,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ADANIPORTS,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
ADANIPOWER,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
APOLLOHOSP,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
ASIANPAINT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
ASIANPAINT,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals.,90
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
BAJAJ-AUTO,pro,PRO_08,Consistent dividend payouts backed by positive free cash flow indicate healthy shareholder returns.,80
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency.,95
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
BAJAJHLDNG,pro,PRO_10,Return on equity has improved consistently over the last three years.,85
BAJAJHLDNG,pro,PRO_11,"Revenue growth is outpacing profit growth, indicating strong business expansion.",80
BAJAJHLDNG,pro,PRO_12,Total assets have consistently increased while borrowings have declined over the last three years.,90
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline.,90
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value.,90
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing.,85
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR over 5 years indicates strong profitability growth.,90
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum.,85
